"","Region","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","Confidence.in.national.government","Standard.deviation.of.ladder.by.country.year","Standard.deviation.Mean.of.ladder.by.country.year","GINI.index..World.Bank.estimate...average.2000.16","gini.of.household.income.reported.in.Gallup..by.wp5.year","Growth.2016","Growth.2015"
"Afghanistan","Southern Asia",2.66171813,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,0.49634856,0.371326178,0.261178523,1.454050779,0.546282768,0.31925,0.286598861,-1.558450461,0.237313986
"Albania","Central and Eastern Europe",4.639548302,9.376145363,0.637698293,68.40000153,0.74961102,-0.032642815,0.876134634,0.669240892,0.33388412,0.457737535,2.682104826,0.578096092,0.30325,0.41048798,0.128447533,-0.0955500600000008
"Algeria","Middle East and Northern Africa",5.248912334,9.540638924,0.806753874,65.69999695,0.436670482,-0.191522107,0.699774206,0.641979635,0.288710028,0.230196297,2.039764643,0.388607115,0.276,0.527555764,-0.0919413570000005,-0.0620512959999999
"Argentina","Latin America and Caribbean",6.039330006,9.848709106,0.906699121,68.59999847,0.831966162,-0.182599917,0.841052473,0.809422612,0.291717261,0.305430293,2.409328938,0.398939759,0.4609375,0.394175798,-0.387891292,-0.269909382
"Armenia","Central and Eastern Europe",4.287736416,9.081094742,0.697924912,66.59999847,0.613697052,-0.133957878,0.86468333,0.625013828,0.43714875,0.246900991,2.325378895,0.54233253,0.31925,0.478876591,-0.0377354619999997,-0.0228476520000003
"Australia","Australia and New Zealand",7.25703764,10.70658112,0.949957848,73.30000305,0.910550177,0.308772951,0.411346525,0.780078888,0.225360975,0.45340696,1.745698929,0.240552559,0.34275,0.428340912,0.00695753100000029,-0.0589804650000003
"Austria","Western Europe",7.293727875,10.72407532,0.906217813,72.69999695,0.890030563,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.561061978,0.214028001,0.302692308,0.322941631,0.245656014,-0.0283751489999995
"Azerbaijan","Central and Eastern Europe",5.152279377,9.670762062,0.787039399,65.19999695,0.731030464,-0.245215878,0.652539015,0.592359245,0.19831866,0.766583443,1.673756838,0.324857533,0.211,0.313743263,-0.15161562,0.157120228
"Bahrain","Middle East and Northern Africa",6.227320671,10.67569351,0.875747144,68.5,0.905858517,0.128193483,0.711165547,0.813570559,0.289759517,0.473544389,2.215525627,0.355775088,0.2905,0.446609318,0.0576472280000004,0.162298203
"Bangladesh","Southern Asia",4.309771061,8.167346954,0.712552786,63.79999924,0.896217167,0.016269062,0.635014474,0.568827093,0.21350576,0.876646459,1.865365982,0.432822526,0.32775,0.53275013,-0.246369839,-0.0773329729999999
"Belarus","Central and Eastern Europe",5.552915096,9.750800133,0.900255799,65.80000305,0.620979249,-0.129172564,0.654113412,0.540905774,0.232768074,0.447916299,1.662563682,0.299403757,0.281294118,0.283250213,0.375015735000001,-0.541008472000001
"Belgium","Western Europe",6.928347588,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.543046057,0.786367595,0.233597696,0.449731916,1.510013223,0.217947096,0.284307692,0.354373842,-0.0205888739999995,0.0447173109999994
"Benin","Sub-Saharan Africa",4.853180885,7.63251543,0.435878992,53.90000153,0.72680825,-0.042811081,0.767234623,0.614722311,0.457920343,0.615089297,2.998126507,0.617765248,0.432666667,0.5770697,0.845823288,0.38269329
"Bolivia","Latin America and Caribbean",5.65055275,8.837221146,0.778661788,63.29999924,0.883904934,-0.115274936,0.819261968,0.698195398,0.43394354,0.427632958,2.250484228,0.398276836,0.5216,0.40588659,-0.119170665,-0.0646057130000006
"Bosnia and Herzegovina","Central and Eastern Europe",5.089902401,9.368531227,0.775295258,67.5,0.563798666,0.092498638,0.923343062,0.597341657,0.270745516,0.126379713,2.281006575,0.448143482,0.3256,0.486203879,-0.0909628869999999,0.0636873250000001
"Botswana","Sub-Saharan Africa",3.504881144,9.668231964,0.768258631,58.20000076,0.817308009,-0.253493279,0.731441498,0.656396449,0.276252508,0.770821095,2.669425488,0.761630833,0.626,0.637864351,0.00594449100000016,-0.263028145
"Brazil","Latin America and Caribbean",6.332929134,9.554174423,0.904694259,66.19999695,0.764792562,-0.184547558,0.794457376,0.715945125,0.307716906,0.16549027,2.530506134,0.399579108,0.547285714,0.39262256,-0.0418882370000002,-0.172079564000001
"Bulgaria","Central and Eastern Europe",5.096901894,9.828942299,0.94175458,66.59999847,0.689047039,-0.156459168,0.910799742,0.614216745,0.188637346,0.326087952,1.852363825,0.363429368,0.354666667,0.343219519,0.25934124,-0.0278406140000005
"Burkina Faso","Sub-Saharan Africa",4.646891117,7.440206528,0.784761369,53.40000153,0.613774717,-0.054843456,0.727451324,0.585172474,0.353821069,0.540656149,2.19759202,0.472916603,0.394666667,0.553144336,0.441256523,-0.213295459999999
"Cambodia","Southeastern Asia",4.585842133,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,2.732651472,0.595888674,0.4155,0.545690596,0.124582768,0.299094677
"Cameroon","Sub-Saharan Africa",5.07405138,8.121161461,0.69459641,51.90000153,0.766945004,-0.031570964,0.84358561,0.632338762,0.377498746,0.578775525,2.815224409,0.55482775,0.438333333,0.565237224,0.257819176,-0.221732617
"Canada","North America",7.414868355,10.69234467,0.93374896,73.40000153,0.945145011,0.155016169,0.362034321,0.862773478,0.21798116,0.652735949,1.603363752,0.216236308,0.3368,0.601348937,0.170022488,-0.167926788
"Central African Republic","Sub-Saharan Africa",3.475862026,6.494116783,0.319589138,45.20000076,0.645252347,0.093754359,0.889566004,0.613865197,0.599335492,0.650284886,2.807073832,0.807590723,0.499,0.715371251,0.782800913,-0.162901879000001
"Chad","Sub-Saharan Africa",4.558937073,7.477691174,0.660615563,47.70000076,0.614849687,-0.004919504,0.792389929,0.627503157,0.53824544,0.473544389,2.880960464,0.631936908,0.4155,0.561519265,0.529586792,-0.293324946999999
"Chile","Latin America and Caribbean",6.320119381,10.03306866,0.879840791,69.80000305,0.790116489,-0.030261263,0.835987508,0.83847481,0.291042089,0.268283308,2.162420273,0.342148632,0.491571429,0.574647009,-0.258936882,0.0463066100000002
"China","Eastern Asia",5.099061489,9.636177063,0.772033215,69,0.877617598,-0.191224813,0.213757217,0.821097255,0.214004755,0.752442479,2.271663904,0.445506275,0.425,0.633354962,-0.225894450999999,0.0210781089999994
"Colombia","Latin America and Caribbean",6.157341957,9.492126465,0.909249961,67.40000153,0.837554634,-0.162942991,0.87501812,0.836926997,0.299308956,0.221882597,2.544821501,0.413298726,0.5416,0.542027473,-0.0763731000000005,-0.153856755
"Congo (Brazzaville)","Sub-Saharan Africa",4.883991241,8.493188858,0.655440509,57.29999924,0.777783453,-0.163537174,0.76278311,0.598951638,0.381640553,0.469826549,2.906801224,0.595169187,0.481,0.477259427,0.764497757,-0.571336746999999
"Congo (Kinshasa)","Sub-Saharan Africa",4.311033249,6.694726944,0.669688404,52.90000153,0.704239547,0.085066363,0.809181869,0.550525904,0.404262066,0.4784123,2.642479181,0.612957299,0.4215,0.63245213,-0.210902214,0.619193792
"Costa Rica","Latin America and Caribbean",7.22518158,9.650206566,0.92169714,71.09999847,0.93561846,-0.073179178,0.742350757,0.874395847,0.275440067,0.407448441,2.07998395,0.287879825,0.490882353,0.469308227,0.089563847,0.28161335
"Croatia","Central and Eastern Europe",5.343165874,10.02878857,0.770309687,69.59999847,0.715822279,-0.105906412,0.89155972,0.655305028,0.316488236,0.211000666,1.570821404,0.293987006,0.321428571,0.338284969,-0.0737094879999995,0.211437225
